TIMESTAMP,TA_F,VPD_F,PA_F,NETRAD,LE_F_MDS,LE_CORR,H_F_MDS,H_CORR
200201,-15.114,1.045,69.024,24.00955121,3.74578,5.86749,11.4248,17.8962
200202,-9.424,1.95,69.014,46.83085339,4.01049,6.28214,29.7601,46.6171
200203,-4.747,2.636,68.995,76.69083708,6.89529,11.096,38.4683,61.9037
200204,1.644,3.709,68.989,105.3584894,12.4912,21.0414,42.7376,71.9911
200205,3.196,2.396,69.298,119.1952371,27.0694,50.2207,29.596,54.9082
200206,8.778,3.719,69.334,140.0696415,51.6408,87.0707,25.9063,43.6802
200207,11.36,4.354,69.393,148.2004826,71.5685,104.897,25.6101,37.5364
200208,9.568,3.841,69.567,137.1593704,61.5043,95.9721,26.6695,41.6154
200209,6.088,2.888,69.721,101.2811931,33.7129,53.489,30.8058,48.8766
200210,-1.537,2.53,69.527,-9999,14.5406,20.9985,42.1807,60.9142
200211,-9.384,1.795,69.375,27.60499211,5.17378,6.73443,26.3959,34.3581
200212,-12.421,1.38,68.988,18.82112391,3.08173,4.13432,20.9687,28.1307
200301,-13.982,1.683,69.055,21.63236282,1.62881,1.92845,27.2091,32.2146
200302,-9.449,2.004,68.781,44.38717799,2.4923,3.41974,30.9193,42.425
200303,-4.682,2.641,68.88,72.16544437,6.78706,10.8276,34.8961,55.6709
200304,1.376,3.653,69.102,98.48624527,16.8401,30.2289,33.565,60.2509
200305,4.323,3.447,69.227,119.3731225,40.9696,73.5426,31.2991,56.1835
200306,7.66,4.145,69.334,146.7893457,58.699,86.4587,30.4969,44.9194
200307,9.21,3.14,69.338,128.8187997,62.4654,92.0063,20.4747,30.1575
200308,9.968,3.004,69.482,127.4049819,61.5691,89.5212,23.906,34.7592
200309,5.94,2.993,69.589,112.5213982,49.4265,74.2403,27.0967,40.7002
200310,0.677,2.716,69.624,73.26679198,22.2161,31.147,32.6615,45.7916
200311,-6.649,1.781,69.209,36.42470012,8.28254,12.4676,24.2201,36.4582
200312,-12.754,1.314,69.187,20.92012313,4.47473,6.11403,23.6096,32.2589
200401,-15.205,1.036,68.793,31.42014247,5.52073,9.64081,21.9696,38.3654
200402,-12.865,1.522,68.918,52.17471563,6.36013,10.22,31.6215,50.8123
200403,-6.738,2.187,69.042,79.06925148,14.1129,22.8933,30.2381,49.0509
200404,0.624,4.135,69.284,111.3451757,29.2985,39.6502,44.9059,60.772
200405,2.801,3.694,69.341,117.4082882,48.3947,65.2241,33.5253,45.1838
200406,8.4,5.081,69.356,140.9919631,68.9087,92.389,30.4749,40.8591
200407,11.574,5.946,69.368,146.1112865,78.3847,106.756,25.1741,34.2859
200408,10.826,4.105,69.424,122.6582735,62.0088,87.1483,23.7413,33.3665
200409,5.033,2.866,69.639,96.65272815,40.8973,60.8668,25.5226,37.9849
200410,-1.13,2.204,69.654,70.17992748,16.9323,25.5184,32.1754,48.4912
200411,-7.884,2.22,69.411,36.07924523,7.25449,9.62621,29.2088,38.7581
200412,-12.361,1.462,69.076,22.95368998,4.06094,6.18274,19.4717,29.6456
